fornavn,år,antall
Aage,2013,1476.0
Aage,2014,1422.0
Aage,2015,1383.0
Aage,2016,1347.0
Aage,2017,1315.0
Aage,2018,1275.0
Aage,2019,1245.0
Aage,2020,1206.0
Aage,2021,1163.0
Aage,2022,1126.0
Aage,2023,1095.0
Aage,2024,1054.0
Aaron,2013,277.0
Aaron,2014,306.0
Aaron,2015,336.0
Aaron,2016,374.0
Aaron,2017,402.0
Aaron,2018,438.0
Aaron,2019,472.0
Aaron,2020,504.0
Aaron,2021,544.0
Aaron,2022,576.0
Aaron,2023,599.0
Aaron,2024,617.0
Aasmund,2013,313.0
Aasmund,2014,312.0
Aasmund,2015,314.0
Aasmund,2016,313.0
Aasmund,2017,305.0
Aasmund,2018,299.0
Aasmund,2019,297.0
Aasmund,2020,295.0
Aasmund,2021,286.0
Aasmund,2022,280.0
Aasmund,2023,273.0
Aasmund,2024,271.0
Abbas,2013,224.0
Abbas,2014,233.0
Abbas,2015,244.0
Abbas,2016,263.0
Abbas,2017,271.0
Abbas,2018,280.0
Abbas,2019,283.0
Abbas,2020,286.0
Abbas,2021,290.0
Abbas,2022,299.0
Abbas,2023,311.0
Abbas,2024,313.0
Abdallah,2013,
Abdallah,2014,
Abdallah,2015,
Abdallah,2016,
Abdallah,2017,
Abdallah,2018,
Abdallah,2019,
Abdallah,2020,200.0
Abdallah,2021,209.0
Abdallah,2022,214.0
Abdallah,2023,220.0
Abdallah,2024,230.0
Abdi,2013,609.0
Abdi,2014,609.0
Abdi,2015,611.0
Abdi,2016,608.0
Abdi,2017,599.0
Abdi,2018,592.0
Abdi,2019,586.0
Abdi,2020,577.0
Abdi,2021,614.0
Abdi,2022,606.0
Abdi,2023,597.0
Abdi,2024,601.0
Abdirahman,2013,641.0
Abdirahman,2014,688.0
Abdirahman,2015,750.0
Abdirahman,2016,770.0
Abdirahman,2017,778.0
Abdirahman,2018,788.0
Abdirahman,2019,798.0
Abdirahman,2020,799.0
Abdirahman,2021,794.0
Abdirahman,2022,788.0
Abdirahman,2023,793.0
Abdirahman,2024,795.0
Abdul,2013,797.0
Abdul,2014,817.0
Abdul,2015,878.0
Abdul,2016,957.0
Abdul,2017,1015.0
Abdul,2018,1037.0
Abdul,2019,1054.0
Abdul,2020,1063.0
Abdul,2021,1234.0
Abdul,2022,1279.0
Abdul,2023,1318.0
Abdul,2024,1345.0
Abdulkadir,2013,
Abdulkadir,2014,212.0
Abdulkadir,2015,216.0
Abdulkadir,2016,224.0
Abdulkadir,2017,222.0
Abdulkadir,2018,226.0
Abdulkadir,2019,221.0
Abdulkadir,2020,217.0
Abdulkadir,2021,215.0
Abdulkadir,2022,210.0
Abdulkadir,2023,215.0
Abdulkadir,2024,216.0
Abdullah,2013,477.0
Abdullah,2014,508.0
Abdullah,2015,548.0
Abdullah,2016,632.0
Abdullah,2017,718.0
Abdullah,2018,752.0
Abdullah,2019,783.0
Abdullah,2020,795.0
Abdullah,2021,824.0
Abdullah,2022,874.0
Abdullah,2023,907.0
Abdullah,2024,946.0
Abdullahi,2013,506.0
Abdullahi,2014,538.0
Abdullahi,2015,581.0
Abdullahi,2016,591.0
Abdullahi,2017,592.0
Abdullahi,2018,606.0
Abdullahi,2019,611.0
Abdullahi,2020,606.0
Abdullahi,2021,605.0
Abdullahi,2022,602.0
Abdullahi,2023,599.0
Abdullahi,2024,610.0
Abdulrahman,2013,
Abdulrahman,2014,
Abdulrahman,2015,
Abdulrahman,2016,
Abdulrahman,2017,228.0
Abdulrahman,2018,244.0
Abdulrahman,2019,249.0
Abdulrahman,2020,257.0
Abdulrahman,2021,274.0
Abdulrahman,2022,283.0
Abdulrahman,2023,293.0
Abdulrahman,2024,312.0
Abel,2013,237.0
Abel,2014,280.0
Abel,2015,345.0
Abel,2016,386.0
Abel,2017,457.0
Abel,2018,499.0
Abel,2019,580.0
Abel,2020,651.0
Abel,2021,737.0
Abel,2022,811.0
Abel,2023,888.0
Abel,2024,954.0
Abraham,2013,249.0
Abraham,2014,274.0
Abraham,2015,296.0
