fornavn,år,antall
Aagot,2013,331.0
Aagot,2014,309.0
Aagot,2015,291.0
Aagot,2016,264.0
Aagot,2017,248.0
Aagot,2018,231.0
Aagot,2019,215.0
Aagot,2020,201.0
Aagot,2021,
Aagot,2022,
Aagot,2023,
Aagot,2024,
Aase,2013,4049.0
Aase,2014,3872.0
Aase,2015,3711.0
Aase,2016,3575.0
Aase,2017,3421.0
Aase,2018,3268.0
Aase,2019,3122.0
Aase,2020,2997.0
Aase,2021,2963.0
Aase,2022,2835.0
Aase,2023,2712.0
Aase,2024,2570.0
Aashild,2013,343.0
Aashild,2014,337.0
Aashild,2015,327.0
Aashild,2016,315.0
Aashild,2017,304.0
Aashild,2018,293.0
Aashild,2019,287.0
Aashild,2020,282.0
Aashild,2021,273.0
Aashild,2022,262.0
Aashild,2023,253.0
Aashild,2024,246.0
Aasta,2013,369.0
Aasta,2014,352.0
Aasta,2015,323.0
Aasta,2016,312.0
Aasta,2017,293.0
Aasta,2018,270.0
Aasta,2019,256.0
Aasta,2020,248.0
Aasta,2021,238.0
Aasta,2022,223.0
Aasta,2023,212.0
Aasta,2024,206.0
Abigail,2013,
Abigail,2014,
Abigail,2015,
Abigail,2016,
Abigail,2017,
Abigail,2018,
Abigail,2019,214.0
Abigail,2020,226.0
Abigail,2021,250.0
Abigail,2022,270.0
Abigail,2023,299.0
Abigail,2024,308.0
Ada,2013,2013.0
Ada,2014,2098.0
Ada,2015,2212.0
Ada,2016,2351.0
Ada,2017,2511.0
Ada,2018,2752.0
Ada,2019,3026.0
Ada,2020,3251.0
Ada,2021,3617.0
Ada,2022,3857.0
Ada,2023,4130.0
Ada,2024,4350.0
Adele,2013,848.0
Adele,2014,899.0
Adele,2015,934.0
Adele,2016,969.0
Adele,2017,998.0
Adele,2018,1036.0
Adele,2019,1072.0
Adele,2020,1090.0
Adele,2021,1080.0
Adele,2022,1137.0
Adele,2023,1171.0
Adele,2024,1198.0
Adelen,2013,
Adelen,2014,
Adelen,2015,207.0
Adelen,2016,256.0
Adelen,2017,295.0
Adelen,2018,331.0
Adelen,2019,353.0
Adelen,2020,380.0
Adelen,2021,212.0
Adelen,2022,384.0
Adelen,2023,392.0
Adelen,2024,407.0
Adelina,2013,
Adelina,2014,
Adelina,2015,
Adelina,2016,
Adelina,2017,
Adelina,2018,
Adelina,2019,204.0
Adelina,2020,218.0
Adelina,2021,235.0
Adelina,2022,271.0
Adelina,2023,314.0
Adelina,2024,333.0
Adriana,2013,488.0
Adriana,2014,530.0
Adriana,2015,565.0
Adriana,2016,594.0
Adriana,2017,609.0
Adriana,2018,629.0
Adriana,2019,651.0
Adriana,2020,661.0
Adriana,2021,708.0
Adriana,2022,726.0
Adriana,2023,754.0
Adriana,2024,764.0
Agata,2013,383.0
Agata,2014,423.0
Agata,2015,455.0
Agata,2016,477.0
Agata,2017,495.0
Agata,2018,514.0
Agata,2019,519.0
Agata,2020,534.0
Agata,2021,559.0
Agata,2022,585.0
Agata,2023,600.0
Agata,2024,612.0
Agathe,2013,307.0
Agathe,2014,316.0
Agathe,2015,319.0
Agathe,2016,327.0
Agathe,2017,334.0
Agathe,2018,335.0
Agathe,2019,341.0
Agathe,2020,346.0
Agathe,2021,354.0
Agathe,2022,354.0
Agathe,2023,362.0
Agathe,2024,374.0
Agne,2013,
Agne,2014,225.0
Agne,2015,231.0
Agne,2016,232.0
Agne,2017,240.0
Agne,2018,243.0
Agne,2019,243.0
Agne,2020,250.0
Agne,2021,239.0
Agne,2022,253.0
Agne,2023,254.0
Agne,2024,250.0
Agnes,2013,3288.0
Agnes,2014,3303.0
Agnes,2015,3282.0
Agnes,2016,3273.0
Agnes,2017,3252.0
Agnes,2018,3279.0
Agnes,2019,3314.0
Agnes,2020,3356.0
Agnes,2021,3449.0
Agnes,2022,3499.0
Agnes,2023,3527.0
Agnes,2024,3604.0
Agnete,2013,550.0
Agnete,2014,552.0
Agnete,2015,549.0
Agnete,2016,541.0
Agnete,2017,543.0
Agnete,2018,541.0
Agnete,2019,545.0
Agnete,2020,548.0
Agnete,2021,555.0
Agnete,2022,554.0
Agnete,2023,554.0
Agnete,2024,555.0
Agnethe,2013,431.0
Agnethe,2014,430.0
